,complaint_id,date_received,district_occurrence,general_cap_classification,summary,incident_date,complainant_sex,complainant_race,complainant_age,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
0,15-0348,2015-07-06,600, NON-INVESTIGATORY INCIDENT,"According to the complainant, on 6-27-15 they did not receive proper service and physically abused by an officer assigned to Headquarters Security Unit.",6-27-15,female,black,54.0,79246026.0,white,male,0600 06TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
2,15-0349,2015-07-01,1900, PHYSICAL ABUSE,"According to the complainant, on 6-26-15 at 6:45pm, they were physically abused by a sergeant and other unknown 19th District officers.",6-26-15,female,black,25.0,63884050.0,black,male,1900 19TH DISTRICT,Physical Abuse,No Sustained Findings,Not Applicable
8,15-0350,2015-07-01,600, PHYSICAL ABUSE,"According to the complainant, on 3-1-14 at 1:00pm, they were physically abused by unknown 6th District officers.",3-1-14,male,black,,50766031.0,white,male,6200 CENTRAL DETECTIVES,Departmental Violation,Sustained Finding,Training/Counseling
10,15-0351,2015-07-01,2400, DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-18-15 at 7:30am, they were treated unprofessionally by unknown officers in the 24th District.",6-18-15,female,white,33.0,,unreported,unreported,,Physical Abuse,No Sustained Findings,Not Applicable
24,15-0352,2015-07-01,3500, VERBAL ABUSE,"According to the complainant, on 6-6-15 at 4:30pm, they were an officer in the 35th District, was rude and dismissive while issuing a parking citation.",6-6-15,female,black,21.0,54117891.0,black,female,9807 SUPP POLICE SERVICE,Verbal Abuse,No Sustained Findings,Not Applicable
25,15-0353,2015-07-01,600, PHYSICAL ABUSE,"According to the complainant, on 5-16-15 at 3:00pm, they were treated unprofessionally by officers assigned to Center City District.",5-16-15,male,unreported,,10998613.0,latino,female,4500 CENTER CITY DISTRIC,Unprofessional Conduct,No Sustained Findings,Not Applicable
29,15-0354,2015-07-02,2600, LACK OF SERVICE,"According to the complainant, they did not receive proper service from an officer assigned to the 25th District.",Unclear,female,white,41.0,13639795.0,black,female,0500 05TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
30,15-0355,2015-07-02,1200, PHYSICAL ABUSE,"According to the complainant, on 5-18-15 at 9:50pm, they were physically and verbally abused by unknown officers in the 12th District.",5-18-15,male,black,34.0,31467344.0,white,male,9807 SUPP POLICE SERVICE,Verbal Abuse,No Sustained Findings,Not Applicable
36,15-0356,2015-07-02,1200, HARASSMENT,"According to the complainant, on 6-28-15 at 3:00pm, they were harassed by an officer assigned to the 12th District.",6-28-15,female,black,38.0,59284211.0,latino,male,1200 12TH DISTRICT,Harassment,No Sustained Findings,Not Applicable
37,15-0357,2015-07-02,500, VERBAL ABUSE,"According to the complainant, on 6-27-15 at 9:05am, they were treated unprofessionally by officers assigned to the 5th District.",6-27-15,male,white,26.0,73793031.0,black,female,0500 05TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
